filesize, filesize(log2), seq cycles, rnd cycles
128K, 17, 992349, 1232224
256K, 18, 490581, 878678
512K, 19, 507070, 516002
1M, 20, 341850, 369356
2M, 21, 316896, 416697
4M, 22, 206814, 336204
8M, 23, 213863, 388181
16M, 24, 199088, 333868
32M, 25, 49101, 47205
64M, 26, 52232, 48785
128M, 27, 50587, 41596
256M, 28, 45057, 41923
512M, 29, 38698, 30866
1G, 30, 41848, 53095
2G, 31, 37695, 36352
3G, 31.58, 43746, 33912
4G, 32, 38568, 35847
5G, 32.32, 44174, 40462
6G, 32.58, 51064, 40995
7G, 32.81, 34688, 30709
